Generated on 10/26/2019 22:32:39

----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","N/A email","17","11","[2, 19, 7, 9, 5]"
"N/A name","N/A email","18","12","[2, 10, 8, 19, 12]"
"N/A name","N/A email","18","11","[10, 2, 1, 19, 9]"
"N/A name","N/A email","17","11","[10, 2, 16, 12, 3]"
"N/A name","N/A email","16","10","[2, 13, 5, 11, 8]"
"N/A name","N/A email","16","11","[10, 2, 5, 17, 8]"
"N/A name","N/A email","17","10","[19, 14, 10, 2, 11]"
"N/A name","N/A email","16","10","[2, 5, 19, 8, 0]"
"N/A name","N/A email","19","12","[2, 9, 5, 17, 8]"
"N/A name","N/A email","19","12","[2, 5, 9, 17, 4]"
"N/A name","N/A email","17","11","[2, 1, 8, 11, 10]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","3","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","16","10","[3, 14, 7, 8, 17]"
"N/A name","N/A email","17","11","[3, 10, 17, 9, 19]"
"N/A name","N/A email","15","9","[10, 3, 14, 8, 18]"
"N/A name","N/A email","18","11","[3, 8, 0, 16, 5]"
"N/A name","N/A email","15","9","[5, 3, 0, 17, 14]"
"N/A name","N/A email","14","9","[3, 17, 16, 14, 18]"
"N/A name","N/A email","18","11","[10, 8, 4, 17, 2]"
"N/A name","N/A email","16","10","[3, 5, 4, 7, 0]"
"N/A name","N/A email","16","10","[10, 19, 14, 9, 8]"
"N/A name","N/A email","15","9","[3, 4, 10, 0, 1]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","4","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","16","10","[19, 5, 4, 12, 9]"
"N/A name","N/A email","16","10","[11, 4, 9, 0, 13]"
"N/A name","N/A email","16","10","[4, 0, 13, 2, 17]"
"N/A name","N/A email","17","10","[4, 1, 2, 8, 14]"
"N/A name","N/A email","18","12","[4, 2, 18, 9, 5]"
"N/A name","N/A email","15","10","[4, 16, 12, 18, 19]"
"N/A name","N/A email","19","12","[4, 14, 2, 12, 19]"
"N/A name","N/A email","17","12","[4, 14, 17, 0, 11]"
"N/A name","N/A email","16","10","[4, 5, 12, 8, 13]"
"N/A name","N/A email","15","10","[4, 8, 1, 9, 14]"
"N/A name","N/A email","18","12","[4, 10, 14, 1, 19]"
"N/A name","N/A email","15","9","[4, 0, 19, 17, 8]"
"N/A name","N/A email","17","12","[1, 4, 17, 19, 12]"
"N/A name","N/A email","16","11","[4, 1, 0, 16, 12]"
"N/A name","N/A email","16","9","[4, 5, 0, 14, 11]"
"N/A name","N/A email","14","9","[4, 17, 6, 5, 2]"
"N/A name","N/A email","15","9","[14, 11, 4, 16, 12]"
"N/A name","N/A email","17","11","[4, 0, 1, 8, 2]"
"N/A name","N/A email","14","9","[4, 17, 9, 5, 8]"
"N/A name","N/A email","16","11","[4, 8, 1, 14, 9]"
"N/A name","N/A email","17","10","[4, 1, 14, 17, 3]"
"N/A name","N/A email","18","12","[4, 8, 16, 13, 11]"
"N/A name","N/A email","16","10","[4, 14, 1, 10, 16]"
"N/A name","N/A email","14","9","[9, 4, 1, 0, 8]"
"N/A name","N/A email","17","12","[4, 1, 9, 8, 15]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","5","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","15","9","[5, 2, 19, 13, 11]"
"N/A name","N/A email","16","9","[5, 0, 16, 8, 1]"
"N/A name","N/A email","15","9","[5, 8, 4, 19, 16]"
"N/A name","N/A email","18","12","[5, 2, 8, 16, 11]"
"N/A name","N/A email","17","12","[8, 5, 19, 18, 16]"
"N/A name","N/A email","18","12","[5, 11, 14, 2, 4]"
"N/A name","N/A email","17","11","[0, 5, 16, 14, 11]"
"N/A name","N/A email","19","12","[5, 13, 11, 4, 16]"
"N/A name","N/A email","14","9","[5, 8, 14, 19, 1]"
"N/A name","N/A email","15","10","[5, 17, 4, 9, 16]"
"N/A name","N/A email","15","9","[19, 5, 8, 10, 1]"
"N/A name","N/A email","18","11","[5, 2, 10, 9, 1]"
"N/A name","N/A email","16","10","[5, 17, 9, 3, 11]"
"N/A name","N/A email","15","10","[5, 8, 4, 1, 0]"
"N/A name","N/A email","17","11","[5, 10, 12, 16, 17]"
"N/A name","N/A email","18","12","[5, 8, 14, 9, 16]"
"N/A name","N/A email","17","11","[5, 14, 16, 12, 9]"
"N/A name","N/A email","16","11","[10, 5, 19, 17, 1]"
"N/A name","N/A email","19","12","[5, 10, 0, 13, 16]"
"N/A name","N/A email","17","11","[5, 12, 8, 18, 17]"
"N/A name","N/A email","14","9","[5, 18, 12, 1, 10]"
"N/A name","N/A email","16","10","[5, 16, 19, 14, 0]"
"N/A name","N/A email","16","10","[5, 18, 2, 11, 4]"
"N/A name","N/A email","17","10","[5, 0, 19, 1, 4]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","6","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","14","9","[19, 17, 0, 8, 10]"
"N/A name","N/A email","16","11","[14, 10, 1, 9, 5]"
"N/A name","N/A email","18","12","[6, 9, 14, 11, 13]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","7","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","16","11","[17, 7, 8, 13, 11]"
"N/A name","N/A email","16","10","[7, 13, 10, 5, 19]"
"N/A name","N/A email","15","9","[19, 10, 8, 7, 0]"
"N/A name","N/A email","17","12","[7, 4, 2, 14, 16]"
"N/A name","N/A email","16","11","[19, 14, 17, 7, 9]"
"N/A name","N/A email","17","10","[5, 7, 13, 19, 14]"
"N/A name","N/A email","15","9","[16, 7, 8, 1, 5]"
"N/A name","N/A email","17","12","[0, 7, 11, 16, 14]"
"N/A name","N/A email","18","12","[7, 11, 10, 14, 4]"
"N/A name","N/A email","16","9","[17, 7, 4, 15, 1]"
"N/A name","N/A email","14","9","[5, 11, 7, 13, 1]"
"N/A name","N/A email","15","10","[7, 10, 9, 18, 13]"
"N/A name","N/A email","16","11","[10, 7, 19, 11, 1]"
"N/A name","N/A email","18","12","[0, 7, 5, 18, 4]"
"N/A name","N/A email","17","11","[7, 1, 11, 17, 0]"
"N/A name","N/A email","16","10","[5, 7, 19, 17, 8]"
"N/A name","N/A email","15","10","[7, 4, 14, 0, 2]"
"N/A name","N/A email","18","12","[7, 1, 10, 16, 5]"
"N/A name","N/A email","18","12","[7, 14, 17, 19, 8]"
"N/A name","N/A email","16","9","[19, 14, 7, 1, 9]"
"N/A name","N/A email","15","9","[11, 7, 8, 2, 5]"
"N/A name","N/A email","16","11","[19, 7, 4, 18, 14]"
"N/A name","N/A email","16","10","[7, 2, 10, 5, 1]"
"N/A name","N/A email","15","10","[7, 1, 15, 17, 16]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","8","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","16","10","[8, 4, 7, 1, 19]"
"N/A name","N/A email","15","10","[8, 4, 19, 17, 0]"
"N/A name","N/A email","17","11","[8, 0, 17, 14, 12]"
"N/A name","N/A email","16","10","[8, 1, 5, 7, 9]"
"N/A name","N/A email","15","9","[8, 1, 5, 0, 17]"
"N/A name","N/A email","14","9","[8, 5, 17, 11, 18]"
"N/A name","N/A email","15","9","[8, 5, 11, 9, 10]"
"N/A name","N/A email","17","12","[8, 5, 4, 14, 9]"
"N/A name","N/A email","15","9","[10, 8, 11, 14, 9]"
"N/A name","N/A email","14","9","[8, 12, 10, 5, 14]"
"N/A name","N/A email","17","11","[8, 19, 2, 0, 17]"
"N/A name","N/A email","16","10","[8, 1, 11, 0, 5]"
"N/A name","N/A email","17","11","[8, 1, 19, 11, 18]"
"N/A name","N/A email","16","11","[8, 11, 14, 13, 10]"
"N/A name","N/A email","16","11","[8, 10, 14, 19, 5]"
"N/A name","N/A email","17","10","[8, 7, 19, 5, 14]"
"N/A name","N/A email","17","11","[8, 11, 0, 1, 19]"
"N/A name","N/A email","16","9","[8, 0, 17, 5, 2]"
"N/A name","N/A email","16","10","[8, 14, 1, 4, 11]"
"N/A name","N/A email","16","10","[8, 4, 5, 2, 19]"
"N/A name","N/A email","17","10","[8, 5, 10, 4, 1]"
"N/A name","N/A email","15","9","[8, 19, 5, 10, 14]"
"N/A name","N/A email","14","9","[8, 14, 1, 2, 19]"
"N/A name","N/A email","16","10","[14, 8, 1, 0, 16]"
"N/A name","N/A email","15","9","[8, 10, 19, 11, 5]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","9","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","17","11","[9, 4, 14, 8, 17]"
"N/A name","N/A email","17","11","[9, 1, 17, 4, 14]"
"N/A name","N/A email","15","10","[10, 9, 4, 14, 8]"
"N/A name","N/A email","16","9","[8, 9, 12, 19, 10]"
"N/A name","N/A email","15","10","[14, 9, 0, 11, 1]"
"N/A name","N/A email","17","12","[9, 5, 1, 11, 10]"
"N/A name","N/A email","19","12","[9, 1, 11, 4, 16]"
"N/A name","N/A email","15","9","[9, 11, 7, 17, 12]"
"N/A name","N/A email","15","10","[9, 14, 19, 1, 7]"
"N/A name","N/A email","18","12","[9, 13, 0, 8, 19]"
"N/A name","N/A email","15","9","[9, 19, 10, 17, 14]"
"N/A name","N/A email","15","9","[17, 19, 5, 9, 4]"
"N/A name","N/A email","16","10","[19, 9, 1, 13, 11]"
"N/A name","N/A email","16","10","[9, 0, 18, 4, 12]"
"N/A name","N/A email","16","10","[9, 8, 1, 18, 10]"
"N/A name","N/A email","16","9","[9, 14, 5, 11, 17]"
"N/A name","N/A email","18","12","[9, 1, 0, 7, 11]"
"N/A name","N/A email","15","9","[9, 7, 4, 10, 5]"
"N/A name","N/A email","17","11","[9, 14, 5, 4, 7]"
"N/A name","N/A email","17","10","[1, 9, 19, 8, 4]"
"N/A name","N/A email","18","12","[9, 0, 8, 13, 12]"
"N/A name","N/A email","16","11","[5, 9, 8, 11, 4]"
"N/A name","N/A email","15","10","[14, 9, 19, 5, 3]"
"N/A name","N/A email","16","11","[0, 9, 5, 2, 16]"
"N/A name","N/A email","16","10","[9, 19, 1, 4, 2]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","10","N/A","12","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","18","12","[1, 10, 19, 14, 18]"
"N/A name","N/A email","17","12","[17, 10, 13, 4, 16]"
"N/A name","N/A email","19","12","[10, 18, 11, 8, 19]"
"N/A name","N/A email","18","12","[1, 11, 10, 5, 16]"
"N/A name","N/A email","18","12","[10, 18, 2, 9, 19]"
"N/A name","N/A email","18","12","[10, 16, 1, 5, 9]"
"N/A name","N/A email","18","12","[10, 13, 16, 19, 14]"
"N/A name","N/A email","18","12","[10, 16, 0, 1, 7]"
"N/A name","N/A email","17","12","[10, 8, 11, 12, 2]"
"N/A name","N/A email","18","12","[10, 16, 18, 9, 19]"
"N/A name","N/A email","18","12","[10, 16, 4, 12, 17]"
"N/A name","N/A email","19","12","[10, 19, 12, 0, 5]"
"N/A name","N/A email","18","12","[8, 9, 10, 12, 18]"
"N/A name","N/A email","18","12","[8, 2, 10, 14, 19]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","11","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","16","10","[11, 5, 9, 4, 2]"
"N/A name","N/A email","14","9","[10, 11, 5, 8, 1]"
"N/A name","N/A email","15","9","[2, 11, 16, 7, 5]"
"N/A name","N/A email","15","9","[10, 11, 4, 5, 14]"
"N/A name","N/A email","16","10","[11, 10, 1, 4, 7]"
"N/A name","N/A email","16","10","[11, 8, 10, 2, 1]"
"N/A name","N/A email","14","9","[10, 11, 13, 8, 3]"
"N/A name","N/A email","16","9","[11, 12, 2, 0, 1]"
"N/A name","N/A email","16","10","[11, 9, 16, 2, 1]"
"N/A name","N/A email","17","11","[11, 5, 19, 14, 12]"
"N/A name","N/A email","16","10","[15, 11, 10, 17, 14]"
"N/A name","N/A email","18","12","[11, 0, 4, 14, 19]"
"N/A name","N/A email","15","9","[11, 14, 5, 0, 9]"
"N/A name","N/A email","18","12","[11, 0, 10, 12, 9]"
"N/A name","N/A email","16","9","[11, 14, 0, 10, 19]"
"N/A name","N/A email","15","9","[14, 16, 11, 0, 10]"
"N/A name","N/A email","15","9","[11, 10, 5, 1, 9]"
"N/A name","N/A email","17","12","[5, 11, 7, 10, 0]"
"N/A name","N/A email","17","12","[11, 9, 14, 5, 4]"
"N/A name","N/A email","16","10","[11, 8, 10, 17, 19]"
"N/A name","N/A email","16","10","[11, 2, 1, 16, 19]"
"N/A name","N/A email","17","11","[8, 11, 10, 14, 1]"
"N/A name","N/A email","15","9","[9, 11, 19, 10, 7]"
"N/A name","N/A email","16","10","[11, 5, 14, 0, 7]"
"N/A name","N/A email","17","11","[14, 11, 17, 10, 13]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","12","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","17","11","[19, 14, 1, 12, 3]"
"N/A name","N/A email","17","10","[12, 5, 17, 1, 10]"
"N/A name","N/A email","16","10","[10, 14, 4, 12, 0]"
"N/A name","N/A email","17","11","[12, 6, 5, 17, 4]"
"N/A name","N/A email","18","11","[12, 0, 10, 13, 5]"
"N/A name","N/A email","16","10","[12, 10, 16, 2, 19]"
"N/A name","N/A email","18","11","[12, 17, 0, 5, 11]"
"N/A name","N/A email","15","9","[12, 9, 19, 8, 10]"
"N/A name","N/A email","16","9","[12, 19, 13, 16, 0]"
"N/A name","N/A email","15","9","[14, 12, 1, 7, 8]"
"N/A name","N/A email","16","10","[17, 12, 9, 3, 0]"
"N/A name","N/A email","18","11","[5, 10, 12, 19, 18]"
"N/A name","N/A email","19","12","[12, 13, 14, 0, 9]"
"N/A name","N/A email","16","10","[0, 12, 19, 16, 14]"
"N/A name","N/A email","17","11","[12, 7, 17, 0, 8]"
"N/A name","N/A email","14","9","[12, 10, 11, 4, 18]"
"N/A name","N/A email","15","10","[14, 19, 9, 12, 2]"
"N/A name","N/A email","16","10","[12, 5, 11, 10, 19]"
"N/A name","N/A email","17","12","[12, 8, 11, 9, 17]"
"N/A name","N/A email","16","11","[12, 14, 0, 1, 19]"
"N/A name","N/A email","15","10","[12, 19, 16, 11, 1]"
"N/A name","N/A email","15","10","[12, 17, 16, 11, 0]"
"N/A name","N/A email","16","9","[12, 14, 9, 1, 11]"
"N/A name","N/A email","18","12","[12, 2, 10, 17, 1]"
"N/A name","N/A email","18","12","[12, 17, 5, 10, 14]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","13","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","16","10","[19, 13, 9, 17, 0]"
"N/A name","N/A email","16","11","[13, 12, 0, 7, 17]"
"N/A name","N/A email","14","9","[14, 19, 13, 18, 2]"
"N/A name","N/A email","16","10","[13, 14, 2, 12, 15]"
"N/A name","N/A email","17","11","[14, 8, 5, 0, 13]"
"N/A name","N/A email","16","10","[13, 18, 9, 8, 0]"
"N/A name","N/A email","15","9","[13, 0, 2, 11, 5]"
"N/A name","N/A email","15","9","[17, 5, 13, 4, 11]"
"N/A name","N/A email","16","10","[14, 13, 10, 2, 17]"
"N/A name","N/A email","17","11","[13, 1, 19, 4, 5]"
"N/A name","N/A email","17","11","[10, 19, 13, 5, 8]"
"N/A name","N/A email","16","10","[11, 13, 16, 2, 14]"
"N/A name","N/A email","17","12","[13, 16, 19, 5, 8]"
"N/A name","N/A email","15","10","[13, 5, 14, 17, 18]"
"N/A name","N/A email","18","11","[10, 13, 5, 17, 9]"
"N/A name","N/A email","17","10","[13, 10, 1, 11, 16]"
"N/A name","N/A email","17","11","[13, 18, 11, 12, 0]"
"N/A name","N/A email","19","12","[8, 13, 16, 17, 7]"
"N/A name","N/A email","18","11","[13, 1, 5, 14, 8]"
"N/A name","N/A email","15","10","[8, 14, 13, 5, 19]"
"N/A name","N/A email","17","11","[13, 0, 10, 2, 11]"
"N/A name","N/A email","18","11","[8, 13, 4, 14, 11]"
"N/A name","N/A email","15","10","[13, 1, 0, 8, 12]"
"N/A name","N/A email","17","11","[13, 8, 19, 3, 16]"
"N/A name","N/A email","16","11","[5, 13, 6, 17, 7]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","14","18","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","19","12","[1, 14, 7, 4, 10]"
"N/A name","N/A email","18","12","[14, 9, 1, 8, 0]"
"N/A name","N/A email","19","12","[14, 8, 16, 0, 5]"
"N/A name","N/A email","18","12","[14, 1, 19, 3, 0]"
"N/A name","N/A email","18","11","[14, 5, 15, 10, 0]"
"N/A name","N/A email","18","11","[14, 8, 5, 0, 18]"
"N/A name","N/A email","18","11","[5, 8, 14, 10, 7]"
"N/A name","N/A email","18","11","[14, 1, 9, 0, 4]"
"N/A name","N/A email","19","12","[9, 14, 13, 17, 0]"
"N/A name","N/A email","18","12","[17, 14, 9, 8, 0]"
"N/A name","N/A email","18","12","[14, 2, 16, 11, 5]"
"N/A name","N/A email","18","12","[14, 2, 19, 9, 1]"
"N/A name","N/A email","18","12","[14, 7, 11, 9, 4]"
"N/A name","N/A email","18","12","[5, 14, 2, 10, 19]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","15","18","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","18","12","[17, 15, 19, 2, 8]"
"N/A name","N/A email","18","12","[15, 8, 13, 1, 19]"
"N/A name","N/A email","18","11","[15, 10, 11, 16, 2]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","16","15","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","17","12","[14, 16, 5, 17, 11]"
"N/A name","N/A email","17","11","[19, 14, 10, 16, 4]"
"N/A name","N/A email","16","9","[4, 16, 17, 12, 0]"
"N/A name","N/A email","19","12","[16, 4, 8, 19, 10]"
"N/A name","N/A email","17","11","[16, 17, 13, 14, 1]"
"N/A name","N/A email","17","11","[16, 19, 17, 2, 0]"
"N/A name","N/A email","15","10","[16, 10, 4, 9, 19]"
"N/A name","N/A email","15","9","[16, 8, 11, 4, 13]"
"N/A name","N/A email","17","12","[16, 5, 9, 0, 2]"
"N/A name","N/A email","15","10","[16, 5, 19, 14, 1]"
"N/A name","N/A email","15","10","[16, 1, 8, 3, 12]"
"N/A name","N/A email","18","12","[16, 14, 1, 3, 5]"
"N/A name","N/A email","16","11","[16, 3, 1, 13, 17]"
"N/A name","N/A email","17","10","[16, 1, 14, 18, 15]"
"N/A name","N/A email","17","12","[16, 17, 8, 11, 5]"
"N/A name","N/A email","17","11","[16, 10, 11, 4, 0]"
"N/A name","N/A email","18","11","[16, 2, 1, 10, 9]"
"N/A name","N/A email","16","11","[16, 1, 13, 17, 14]"
"N/A name","N/A email","16","10","[16, 17, 10, 0, 14]"
"N/A name","N/A email","19","12","[16, 8, 4, 17, 5]"
"N/A name","N/A email","18","11","[16, 19, 17, 2, 10]"
"N/A name","N/A email","16","11","[16, 2, 9, 0, 14]"
"N/A name","N/A email","17","12","[16, 10, 17, 14, 8]"
"N/A name","N/A email","16","11","[8, 16, 2, 14, 5]"
"N/A name","N/A email","16","11","[16, 17, 11, 8, 1]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","17","16","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","17","10","[10, 17, 8, 0, 5]"
"N/A name","N/A email","17","11","[17, 7, 1, 8, 16]"
"N/A name","N/A email","16","10","[19, 10, 4, 17, 9]"
"N/A name","N/A email","17","11","[1, 17, 2, 5, 13]"
"N/A name","N/A email","19","12","[8, 17, 1, 18, 19]"
"N/A name","N/A email","16","10","[19, 17, 16, 0, 1]"
"N/A name","N/A email","19","12","[17, 7, 14, 2, 12]"
"N/A name","N/A email","17","11","[17, 19, 8, 10, 12]"
"N/A name","N/A email","18","12","[17, 11, 14, 10, 16]"
"N/A name","N/A email","17","11","[17, 19, 14, 4, 10]"
"N/A name","N/A email","16","10","[11, 17, 19, 13, 1]"
"N/A name","N/A email","17","10","[19, 0, 17, 7, 1]"
"N/A name","N/A email","16","10","[17, 11, 1, 5, 0]"
"N/A name","N/A email","17","12","[17, 10, 4, 5, 8]"
"N/A name","N/A email","16","10","[0, 17, 10, 11, 19]"
"N/A name","N/A email","19","12","[5, 17, 18, 4, 10]"
"N/A name","N/A email","17","11","[19, 0, 17, 2, 10]"
"N/A name","N/A email","16","10","[17, 0, 7, 19, 1]"
"N/A name","N/A email","16","9","[17, 0, 7, 14, 11]"
"N/A name","N/A email","17","11","[17, 16, 0, 11, 4]"
"N/A name","N/A email","17","12","[17, 12, 19, 1, 8]"
"N/A name","N/A email","17","11","[0, 17, 11, 2, 8]"
"N/A name","N/A email","16","10","[17, 16, 19, 18, 0]"
"N/A name","N/A email","19","12","[17, 0, 8, 9, 10]"
"N/A name","N/A email","16","11","[17, 14, 11, 19, 15]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","18","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","16","10","[18, 4, 14, 2, 7]"
"N/A name","N/A email","17","12","[14, 18, 16, 15, 0]"
"N/A name","N/A email","16","10","[18, 14, 10, 4, 17]"
"N/A name","N/A email","16","9","[10, 18, 4, 19, 5]"
"N/A name","N/A email","16","10","[18, 19, 12, 0, 17]"
"N/A name","N/A email","16","10","[19, 5, 18, 10, 9]"
"N/A name","N/A email","17","11","[11, 0, 10, 17, 18]"
"N/A name","N/A email","17","11","[8, 18, 1, 5, 14]"
"N/A name","N/A email","16","11","[14, 4, 18, 12, 5]"
"N/A name","N/A email","16","9","[18, 9, 8, 1, 11]"
